Codigo;Empresa
AALR3;ALLIAR
ABCB4;ABC BRASIL
ABEV3;AMBEV S/A
AERI3;AERIS
AESB3;AES BRASIL
AFLT3;AFLUENTE T
AGRO3;BRASILAGRO
AGXY3;AGROGALAXY
AHEB3;SPTURIS
AHEB5;SPTURIS
ALLD3;ALLIED
ALPA3;ALPARGATAS
ALPA4;ALPARGATAS
ALPK3;ESTAPAR
ALSO3;ALIANSCSONAE
ALUP11;ALUPAR
ALUP3;ALUPAR
ALUP4;ALUPAR
AMAR3;LOJAS MARISA
AMBP3;AMBIPAR
AMER3;AMERICANAS
ANIM3;ANIMA
APER3;ALPER S.A.
ARML3;ARMAC
ARZZ3;AREZZO CO
ASAI3;ASSAI
ATMP3;ATMASA
ATOM3;ATOMPAR
AURA33;AURA 360
AVLL3;ALPHAVILLE
AZEV3;AZEVEDO
AZEV4;AZEVEDO
AZUL4;AZUL
B3SA3;B3
BAHI3;BAHEMA
BALM4;BAUMER
BAUH4;EXCELSIOR
BAZA3;AMAZONIA
BBAS3;BRASIL
BBDC3;BRADESCO
BBDC4;BRADESCO
BBRK3;NEXPE
BBSE3;BBSEGURIDADE
BEEF3;MINERVA
BEES3;BANESTES
BEES4;BANESTES
BIOM3;BIOMM
BLAU3;BLAU
BLUT3;B TECH EQI
BLUT4;B TECH EQI
BMEB4;MERC BRASIL
BMGB4;BANCO BMG
BMKS3;BIC MONARK
BMOB3;BEMOBI TECH
BOAS3;BOA VISTA
BOBR4;BOMBRIL
BPAC11;BTGP BANCO
BPAC3;BTGP BANCO
BPAC5;BTGP BANCO
BPAN4;BANCO PAN
BRAP3;BRADESPAR
BRAP4;BRADESPAR
BRBI11;BR PARTNERS
BRFS3;BRF SA
BRGE12;ALFA CONSORC
BRGE3;ALFA CONSORC
BRIT3;BRISANET
BRKM3;BRASKEM
BRKM5;BRASKEM
BRML3;BR MALLS PAR
BRPR3;BR PROPERT
BRSR3;BANRISUL
BRSR5;BANRISUL
BRSR6;BANRISUL
BSLI4;BRB BANCO
CAMB3;CAMBUCI
CAML3;CAMIL
CARD3;CSU DIGITAL
CASH3;MELIUZ
CBAV3;CBA
CCRO3;CCR SA
CEAB3;CEA MODAS
CEBR3;CEB
CEBR6;CEB
CEDO4;CEDRO
CEEB3;COELBA
CEPE6;CELPE
CESP3;CESP
CESP6;CESP
CGAS5;COMGAS
CGRA3;GRAZZIOTIN
CGRA4;GRAZZIOTIN
CIEL3;CIELO
CLSA3;CLEARSALE
CLSC3;CELESC
CLSC4;CELESC
CMIG3;CEMIG
CMIG4;CEMIG
CMIN3;CSN MINERACA
COCE5;COELCE
COGN3;COGNA ON
CPFE3;CPFL ENERGIA
CPLE11;COPEL
CPLE3;COPEL
CPLE5;COPEL
CPLE6;COPEL
CRDE3;CR2
CRFB3;CARREFOUR BR
CRIV4;ALFA FINANC
CRPG5;CRISTAL
CRPG6;CRISTAL
CSAB4;SEG AL BAHIA
CSAN3;COSAN
CSED3;CRUZEIRO EDU
CSMG3;COPASA
CSNA3;SID NACIONAL
CSUD3;CSU DIGITAL
CTKA4;KARSTEN
CTNM3;COTEMINAS
CTNM4;COTEMINAS
CTSA3;SANTANENSE
CTSA4;SANTANENSE
CURY3;CURY S/A
CVCB3;CVC BRASIL
CXSE3;CAIXA SEGURI
CYRE3;CYRELA REALT
DASA3;DASA
DESK3;DESKTOP
DEXP3;DEXXOS PAR
DEXP4;DEXXOS PAR
DIRR3;DIRECIONAL
DMMO3;DOMMO
DMVF3;D1000VFARMA
DOHL4;DOHLER
DOTZ3;DOTZ SA
DXCO3;DEXCO
EALT3;ACO ALTONA
EALT4;ACO ALTONA
ECOR3;ECORODOVIAS
EGIE3;ENGIE BRASIL
ELET3;ELETROBRAS
ELET6;ELETROBRAS
ELMD3;ELETROMIDIA
EMAE4;EMAE
EMBR3;EMBRAER
ENAT3;ENAUTA PART
ENBR3;ENERGIAS BR
ENEV3;ENEVA
ENGI11;ENERGISA
ENGI3;ENERGISA
ENGI4;ENERGISA
ENJU3;ENJOEI
ENMT3;ENERGISA MT
EPAR3;EMBPAR S/A
EQPA3;EQTL PARA
EQTL3;EQUATORIAL
ESPA3;ESPACOLASER
ETER3;ETERNIT
EUCA3;EUCATEX
EUCA4;EUCATEX
EVEN3;EVEN
EZTC3;EZTEC
FESA3;FERBASA
FESA4;FERBASA
FHER3;FER HERINGER
FIQE3;UNIFIQUE
FLRY3;FLEURY
FRAS3;FRAS-LE
FRTA3;POMIFRUTAS
G2DI33;G2D INVEST
GEPA4;GER PARANAP
GETT11;GETNET BR
GETT3;GETNET BR
GETT4;GETNET BR
GFSA3;GAFISA
GGBR3;GERDAU
GGBR4;GERDAU
GGPS3;GPS
GMAT3;GRUPO MATEUS
GNDI3;INTERMEDICA
GOAU3;GERDAU MET
GOAU4;GERDAU MET
GOLL4;GOL
GPIV33;GP INVEST
GRND3;GRENDENE
GUAR3;GUARARAPES
HAGA3;HAGA S/A
HAGA4;HAGA S/A
HAPV3;HAPVIDA
HBOR3;HELBOR
HBRE3;HBR REALTY
HBSA3;HIDROVIAS
HETA4;HERCULES
HOOT4;HOTEIS OTHON
HYPE3;HYPERA
IFCM3;INFRACOMM
IGBR3;IGB S/A
IGTI11;IGUATEMI S.A
IGTI3;IGUATEMI S.A
INEP3;INEPAR
INEP4;INEPAR
INTB3;INTELBRAS
IRBR3;IRBBRASIL RE
ITSA3;ITAUSA
ITSA4;ITAUSA
ITUB3;ITAUUNIBANCO
ITUB4;ITAUUNIBANCO
JALL3;JALLESMACHAD
JBSS3;JBS
JFEN3;JOAO FORTES
JHSF3;JHSF PART
JOPA3;JOSAPAR
JSLG3;JSL
KEPL3;KEPLER WEBER
KLBN11;KLABIN S/A
KLBN3;KLABIN S/A
KLBN4;KLABIN S/A
KRSA3;KORA SAUDE
LAND3;TERRASANTAPA
LAVV3;LAVVI
LCAM3;LOCAMERICA
LEVE3;METAL LEVE
LIGT3;LIGHT S/A
LIPR3;ELETROPAR
LJQQ3;QUERO-QUERO
LLIS3;LE LIS BLANC
LOGG3;LOG COM PROP
LOGN3;LOG-IN
LPSB3;LOPES BRASIL
LREN3;LOJAS RENNER
LUPA3;LUPATECH
LVTC3;WDC NETWORKS
LWSA3;LOCAWEB
MATD3;MATER DEI
MBLY3;MOBLY
MDIA3;M.DIASBRANCO
MDNE3;MOURA DUBEUX
MEAL3;IMC S/A
MEGA3;OMEGAENERGIA
MELK3;MELNICK
MGEL4;MANGELS INDL
MGLU3;MAGAZ LUIZA
MILS3;MILLS
MLAS3;MULTILASER
MNDL3;MUNDIAL
MNPR3;MINUPAR
MOAR3;MONT ARANHA
MODL11;MODALMAIS
MODL3;MODALMAIS
MODL4;MODALMAIS
MOSI3;MOSAICO
MOVI3;MOVIDA
MRFG3;MARFRIG
MRSA3B;MRS LOGIST
MRSA6B;MRS LOGIST
MRVE3;MRV
MTRE3;MITRE REALTY
MTSA4;METISA
MULT3;MULTIPLAN
MYPK3;IOCHP-MAXION
NEOE3;NEOENERGIA
NEXP3;NEXPE
NGRD3;NEOGRID
NINJ3;GETNINJAS
NTCO3;GRUPO NATURA
NUBR33;NU-NUBANK
ODPV3;ODONTOPREV
OFSA3;OUROFINO S/A
OIBR3;OI
OIBR4;OI
ONCO3;ONCOCLINICAS
OPCT3;OCEANPACT
ORVR3;ORIZON
OSXB3;OSX BRASIL
PARD3;IHPARDINI
PCAR3;P.ACUCAR-CBD
PDGR3;PDG REALT
PDTC3;PADTEC
PETR3;PETROBRAS
PETR4;PETROBRAS
PETZ3;PETZ
PFRM3;PROFARMA
PGMN3;PAGUE MENOS
PINE4;PINE
PLAS3;PLASCAR PART
PLPL3;PLANOEPLANO
PMAM3;PARANAPANEMA
PNVL3;DIMED
POMO3;MARCOPOLO
POMO4;MARCOPOLO
PORT3;WILSON SONS
POSI3;POSITIVO TEC
POWE3;FOCUS ON
PRIO3;PETRORIO
PRNR3;PRINER
PSSA3;PORTO SEGURO
PTBL3;PORTOBELLO
PTNT3;PETTENATI
PTNT4;PETTENATI
QUAL3;QUALICORP
RADL3;RAIADROGASIL
RAIL3;RUMO S.A.
RAIZ4;RAIZEN
RANI3;IRANI
RAPT3;RANDON PART
RAPT4;RANDON PART
RCSL3;RECRUSUL
RCSL4;RECRUSUL
RDNI3;RNI
RDOR3;REDE D OR
RECV3;PETRORECONCA
RENT3;LOCALIZA
RNEW11;RENOVA
RNEW3;RENOVA
RNEW4;RENOVA
ROMI3;INDS ROMI
RPAD3;ALFA HOLDING
RPAD5;ALFA HOLDING
RPAD6;ALFA HOLDING
RPMG3;PET MANGUINH
RRRP3;3R PETROLEUM
RSID3;ROSSI RESID
RSUL4;RIOSULENSE
SANB11;SANTANDER BR
SANB3;SANTANDER BR
SANB4;SANTANDER BR
SAPR11;SANEPAR
SAPR3;SANEPAR
SAPR4;SANEPAR
SBFG3;GRUPO SBF
SBSP3;SABESP
SCAR3;SAO CARLOS
SEER3;SER EDUCA
SEQL3;SEQUOIA LOG
SGPS3;SPRINGS
SHOW3;TIME FOR FUN
SHUL4;SCHULZ
SIMH3;SIMPAR
SLCE3;SLC AGRICOLA
SLED3;SARAIVA LIVR
SLED4;SARAIVA LIVR
SMFT3;SMART FIT
SMTO3;SAO MARTINHO
SNSY5;SANSUY
SOJA3;BOA SAFRA
SOMA3;GRUPO SOMA
SQIA3;SINQIA
STBP3;SANTOS BRP
SULA11;SUL AMERICA
SULA3;SUL AMERICA
SULA4;SUL AMERICA
SUZB3;SUZANO S.A.
SYNE3;SYN PROP TEC
TAEE11;TAESA
TAEE3;TAESA
TAEE4;TAESA
TASA3;TAURUS ARMAS
TASA4;TAURUS ARMAS
TCNO3;TECNOSOLO
TCNO4;TECNOSOLO
TCSA3;TECNISA
TECN3;TECHNOS
TEKA4;TEKA
TELB3;TELEBRAS
TELB4;TELEBRAS
TEND3;TENDA
TFCO4;TRACK FIELD
TGMA3;TEGMA
TIMS3;TIM
TOTS3;TOTVS
TPIS3;TRIUNFO PART
TRAD3;TC
TRIS3;TRISUL
TRPL3;TRAN PAULIST
TRPL4;TRAN PAULIST
TTEN3;3TENTOS
TUPY3;TUPY
UCAS3;UNICASA
UGPA3;ULTRAPAR
UNIP3;UNIPAR
UNIP5;UNIPAR
UNIP6;UNIPAR
USIM3;USIMINAS
USIM5;USIMINAS
VALE3;VALE
VAMO3;VAMOS
VBBR3;VIBRA
VIIA3;VIA
VITT3;VITTIA
VIVA3;VIVARA S.A.
VIVR3;VIVER
VIVT3;TELEF BRASIL
VLID3;VALID
VULC3;VULCABRAS
VVEO3;VIVEO
WEGE3;WEG
WEST3;WESTWING
WHRL3;WHIRLPOOL
WHRL4;WHIRLPOOL
WIZS3;WIZ S.A.
WLMM4;WLM IND COM
YDUQ3;YDUQS PART
ZAMP3;ZAMP S.A.
